restaurant,item,price,calories,information
Sunrise Diner,Pancake Stack,7.50,620,Three buttermilk pancakes with maple syrup. Contains eggs and wheat.
Sunrise Diner,Breakfast Burrito,8.25,710,Eggs beans cheese and peppers in a flour wrap. Vegetarian.
Sunrise Diner,Fruit Bowl,5.00,180,Seasonal fruit with yoghurt on the side. Contains dairy.
Tonys Pizza Kitchen,Margherita,11.00,850,Tomato mozzarella and basil on a thin base. Vegetarian.
Tonys Pizza Kitchen,Pepperoni,13.50,1020,Tomato mozzarella and pepperoni. Contains pork.
Tonys Pizza Kitchen,Garlic Bread,4.50,340,Baked with garlic butter and herbs. Contains wheat and dairy.
The Green Fork,Falafel Wrap,9.00,540,Chickpea falafel salad and tahini in a flatbread. Vegan.
The Green Fork,Buddha Bowl,10.50,480,Brown rice roasted vegetables and hummus. Vegan and gluten free.
The Green Fork,Lentil Soup,6.00,260,Red lentil and carrot soup with bread. Vegan.
Harbour Grill,Grilled Salmon,19.00,590,Salmon fillet with new potatoes and greens. Contains fish.
Harbour Grill,Steak Frites,24.00,940,Sirloin with fries and peppercorn sauce.
Harbour Grill,Sea Bass,21.50,510,Whole sea bass with lemon and herbs. Contains fish.
Noodle Bar 88,Chicken Ramen,9.50,680,Wheat noodles in chicken broth with egg and spring onion.
Noodle Bar 88,Veg Pad Thai,8.50,720,Rice noodles with tofu peanuts and lime. Contains peanuts.
Noodle Bar 88,Spring Rolls,4.00,290,Four vegetable spring rolls with sweet chilli dip. Vegan.
Casa Verde,Chicken Tacos,10.00,630,Three soft corn tacos with slaw and lime. Gluten free.
Casa Verde,Black Bean Bowl,9.00,520,Black beans rice avocado and salsa. Vegan.
Casa Verde,Churros,5.50,410,Cinnamon churros with chocolate sauce. Contains wheat and dairy.
